,result,champion,d,f,mainRune,minorRune,kill,death,assist,player
0,Victory,Samira,Flash,Heal,Conqueror,Domination,4,3,10,
1,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,16,5,5,
2,Defeat,Jinx,Flash,Heal,Lethal Tempo,Inspiration,0,5,1,
3,Defeat,Varus,Flash,Heal,Hail of Blades,Precision,1,5,0,
4,Defeat,Draven,Flash,Cleanse,Hail of Blades,Precision,14,5,0,
5,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,1,5,8,
6,Victory,Senna,Flash,Heal,Glacial Augment,Precision,2,6,19,
7,Victory,Draven,Flash,Heal,Hail of Blades,Precision,11,3,5,
8,Defeat,Jayce,Flash,Teleport,Conqueror,Inspiration,0,4,0,
9,Victory,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,4,2,11,
10,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,4,8,5,
11,Defeat,Tristana,Flash,Heal,Hail of Blades,Inspiration,5,3,2,
12,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Precision,7,10,11,
13,Defeat,Jayce,Flash,Teleport,Conqueror,Inspiration,3,7,5,
14,Defeat,Ezreal,Flash,Heal,Conqueror,Inspiration,0,5,3,
15,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,9,5,7,
16,Defeat,Samira,Flash,Heal,Conqueror,Domination,2,3,7,
17,Victory,Jinx,Flash,Heal,Lethal Tempo,Domination,14,1,3,
18,Victory,Senna,Flash,Heal,Glacial Augment,Precision,8,2,14,
19,Victory,Lucian,Flash,Ignite,Press the Attack,Inspiration,2,5,3,
20,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,5,3,6,
21,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,3,4,4,
22,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,1,2,2,
23,Victory,Ezreal,Flash,Heal,Conqueror,Inspiration,8,3,13,
24,Victory,Draven,Flash,Heal,Hail of Blades,Precision,1,4,10,
25,Defeat,Kog'Maw,Flash,Heal,Hail of Blades,Inspiration,9,7,4,
26,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,12,3,5,
27,Victory,Senna,Flash,Heal,Grasp of the Undying,Inspiration,3,0,9,
28,Defeat,Tristana,Flash,Cleanse,Hail of Blades,Precision,4,4,2,
29,Defeat,Gwen,Flash,Teleport,Conqueror,Resolve,3,2,0,
30,Defeat,Orianna,Flash,Teleport,Phase Rush,Inspiration,2,2,9,
31,Victory,Jayce,Flash,Teleport,Conqueror,Inspiration,4,6,24,
32,Defeat,Senna,Flash,Heal,Glacial Augment,Precision,4,7,4,
33,Defeat,Thresh,Flash,Ignite,Aftershock,Inspiration,1,4,3,
34,Defeat,Twitch,Flash,Cleanse,Lethal Tempo,Inspiration,0,4,4,
35,Defeat,Kog'Maw,Flash,Teleport,Arcane Comet,Inspiration,0,3,0,
36,Victory,Kog'Maw,Flash,Heal,Hail of Blades,Inspiration,4,4,6,
37,Defeat,Jayce,Flash,Teleport,Conqueror,Inspiration,10,5,6,
38,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,9,4,7,
39,Victory,Jayce,Flash,Teleport,Conqueror,Inspiration,13,2,4,
40,Defeat,Jinx,Flash,Heal,Conqueror,Inspiration,7,6,3,
41,Victory,Jinx,Flash,Cleanse,Conqueror,Inspiration,6,0,5,
42,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,0,5,1,
43,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Precision,1,4,1,
44,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,2,6,7,
45,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,12,3,9,
46,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,2,4,8,
47,Victory,Jinx,Flash,Heal,Lethal Tempo,Inspiration,0,3,2,
48,Victory,Jayce,Flash,Teleport,Conqueror,Inspiration,8,4,5,
49,Defeat,Lucian,Flash,Cleanse,Press the Attack,Inspiration,5,3,2,
50,Defeat,Kalista,Flash,Heal,Hail of Blades,Inspiration,8,2,8,
