,result,champion,d,f,mainRune,minorRune,kill,death,assist,player
0,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,6,5,13,1
1,Defeat,Kog'Maw,Heal,Flash,Lethal Tempo,Inspiration,2,13,6,1
2,Victory,Vayne,Heal,Flash,Press the Attack,Domination,8,3,9,1
3,Defeat,Kalista,Heal,Flash,Hail of Blades,Inspiration,5,3,5,1
4,Victory,Kog'Maw,Heal,Flash,Lethal Tempo,Inspiration,8,3,8,1
5,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,8,2,5,1
6,Defeat,Viego,Ignite,Flash,Conqueror,Domination,0,10,2,1
7,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,1,4,6,1
8,Victory,Varus,Cleanse,Flash,Hail of Blades,Inspiration,4,3,11,1
9,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,2,1,5,1
10,Defeat,Kog'Maw,Teleport,Flash,Arcane Comet,Inspiration,7,7,8,1
11,Victory,Vayne,Heal,Flash,Press the Attack,Domination,6,2,4,1
12,Victory,Kog'Maw,Teleport,Flash,Arcane Comet,Inspiration,13,1,13,1
13,Victory,Kog'Maw,Teleport,Flash,Arcane Comet,Inspiration,8,3,5,1
14,Defeat,Kog'Maw,Heal,Flash,Lethal Tempo,Inspiration,3,5,7,1
15,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,3,8,2,1
16,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,11,2,8,1
17,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,4,1,3,1
18,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,9,2,12,1
19,Defeat,Aphelios,Heal,Flash,Conqueror,Domination,4,3,6,1
20,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,12,2,5,1
21,Defeat,Kog'Maw,Heal,Flash,Lethal Tempo,Inspiration,1,4,2,1
22,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,7,3,1,1
23,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,6,3,7,1
24,Defeat,Samira,Heal,Flash,Conqueror,Domination,4,8,3,1
25,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,1,6,1,1
26,Defeat,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,0,3,2,1
27,Victory,Lee Sin,Teleport,Flash,Conqueror,Resolve,7,4,5,1
28,Victory,Lee Sin,Teleport,Flash,Conqueror,Resolve,5,5,3,1
29,Defeat,Jinx,Heal,Flash,Conqueror,Domination,6,8,9,1
30,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,5,2,3,1
31,Victory,Samira,Heal,Flash,Conqueror,Domination,11,5,7,1
32,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,25,9,7,1
33,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,10,6,14,1
34,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,5,10,3,1
35,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,6,5,14,1
36,Victory,Vayne,Heal,Flash,Press the Attack,Domination,12,6,11,1
37,Victory,Zac,Smite,Flash,Aftershock,Precision,5,2,17,1
38,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,13,1,4,1
39,Defeat,Fiora,Teleport,Flash,Conqueror,Domination,1,8,6,1
40,Defeat,Kog'Maw,Heal,Flash,Arcane Comet,Inspiration,2,10,3,1
41,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,5,4,11,1
42,Victory,Ashe,Cleanse,Flash,Lethal Tempo,Inspiration,6,4,16,1
43,Defeat,Twitch,Heal,Flash,Hail of Blades,Precision,6,9,6,1
44,Defeat,Kog'Maw,Heal,Flash,Lethal Tempo,Inspiration,2,8,6,1
45,Defeat,Lucian,Heal,Flash,Press the Attack,Inspiration,1,6,2,1
46,Remake,Kog'Maw,Heal,Flash,Arcane Comet,Inspiration,0,0,0,1
47,Victory,Kog'Maw,Heal,Flash,Lethal Tempo,Inspiration,9,5,10,1
48,Defeat,Diana,Smite,Flash,Conqueror,Domination,3,8,4,1
49,Victory,Kog'Maw,Heal,Flash,Lethal Tempo,Inspiration,13,2,8,1
50,Victory,Kog'Maw,Heal,Flash,Arcane Comet,Inspiration,4,3,5,1
51,Victory,Kog'Maw,Cleanse,Flash,Lethal Tempo,Inspiration,10,4,5,1
52,Defeat,Varus,Cleanse,Flash,Hail of Blades,Inspiration,5,7,6,1
53,Victory,Syndra,Teleport,Flash,Phase Rush,Inspiration,4,2,5,1
54,Victory,Jinx,Cleanse,Flash,Lethal Tempo,Domination,5,3,8,1
55,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,4,5,5,1
56,Defeat,Samira,Heal,Flash,Conqueror,Domination,7,9,18,1
57,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,3,8,8,1
58,Defeat,Kayn,Smite,Flash,Conqueror,Domination,8,6,10,1
59,Victory,Vayne,Heal,Flash,Press the Attack,Domination,9,4,7,1
60,Defeat,Vayne,Cleanse,Flash,Press the Attack,Domination,3,9,7,1
61,Victory,Senna,Heal,Flash,Glacial Augment,Domination,4,2,14,1
62,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,3,9,3,1
63,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,0,2,0,1
64,Victory,Jinx,Heal,Flash,Conqueror,Domination,8,8,13,1
65,Defeat,Renekton,Teleport,Flash,Press the Attack,Resolve,3,10,0,1
66,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,4,7,5,1
67,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,2,2,11,1
68,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,2,5,12,1
69,Victory,Aatrox,Teleport,Flash,Conqueror,Resolve,3,5,13,1
70,Victory,Samira,Heal,Flash,Conqueror,Domination,9,4,8,1
71,Victory,Vayne,Heal,Flash,Press the Attack,Domination,8,4,10,1
72,Victory,Kalista,Heal,Flash,Hail of Blades,Inspiration,7,6,17,1
73,Defeat,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,1,5,7,1
74,Victory,Cho'Gath,Teleport,Flash,Grasp of the Undying,Inspiration,4,2,5,1
75,Defeat,Diana,Smite,Flash,Conqueror,Domination,3,5,6,1
76,Victory,Ezreal,Heal,Flash,Conqueror,Inspiration,5,4,7,1
77,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,6,12,11,1
78,Victory,Samira,Heal,Flash,Conqueror,Domination,13,3,12,1
79,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,9,2,12,1
80,Victory,Vayne,Heal,Flash,Press the Attack,Domination,8,7,9,1
81,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,6,3,3,1
82,Defeat,Diana,Smite,Flash,Conqueror,Domination,4,3,8,1
83,Defeat,Samira,Heal,Flash,Conqueror,Domination,5,7,7,1
84,Defeat,Darius,Smite,Ghost,Conqueror,Sorcery,4,6,3,1
85,Defeat,Samira,Heal,Flash,Conqueror,Domination,2,7,0,1
86,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,10,6,8,1
87,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,1,7,6,1
88,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,2,3,1,1
89,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,9,4,13,1
90,Victory,Vayne,Cleanse,Flash,Press the Attack,Domination,6,2,7,1
91,Victory,Samira,Heal,Flash,Conqueror,Domination,13,7,13,1
92,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,5,9,6,1
93,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,9,4,8,1
94,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,8,4,3,1
95,Victory,Jinx,Heal,Flash,Conqueror,Domination,16,3,6,1
96,Defeat,Samira,Heal,Flash,Conqueror,Domination,3,6,0,1
97,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,12,5,4,1
98,Victory,Jinx,Heal,Flash,Conqueror,Domination,11,0,2,1
99,Defeat,Ezreal,Heal,Flash,Conqueror,Inspiration,4,9,6,1
100,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,7,5,8,1
101,Defeat,Poppy,Smite,Flash,Hail of Blades,Sorcery,2,7,4,1
102,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,1,7,8,1
103,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,1,7,5,1
104,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,7,4,17,1
105,Victory,Samira,Heal,Flash,Conqueror,Domination,3,3,5,1
106,Defeat,Samira,Heal,Flash,Conqueror,Domination,1,13,2,1
107,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,2,3,11,1
108,Defeat,Samira,Heal,Flash,Conqueror,Domination,1,11,9,1
109,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,7,2,9,1
110,Victory,Aphelios,Heal,Flash,Lethal Tempo,Domination,4,7,8,1
111,Defeat,Samira,Heal,Flash,Conqueror,Domination,10,8,7,1
112,Defeat,Darius,Smite,Flash,Phase Rush,Precision,3,5,6,1
113,Defeat,Jinx,Cleanse,Flash,Lethal Tempo,Domination,0,8,6,1
114,Defeat,Samira,Heal,Flash,Conqueror,Domination,0,4,0,1
115,Defeat,Samira,Heal,Flash,Conqueror,Domination,2,9,3,1
116,Defeat,Kled,Teleport,Flash,Conqueror,Resolve,2,6,2,1
117,Victory,Kai'Sa,Cleanse,Flash,Hail of Blades,Inspiration,9,4,9,1
118,Defeat,Jinx,Cleanse,Flash,Lethal Tempo,Domination,3,7,3,1
119,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,6,1,1,1
120,Defeat,Aphelios,Heal,Flash,Conqueror,Domination,5,12,10,1
121,Victory,Darius,Smite,Ghost,Phase Rush,Precision,9,4,10,1
122,Defeat,Varus,Heal,Flash,Arcane Comet,Inspiration,1,5,1,1
123,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,10,2,7,1
124,Defeat,Samira,Heal,Flash,Conqueror,Domination,1,8,10,1
125,Victory,Samira,Heal,Flash,Conqueror,Domination,5,2,11,1
126,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,12,7,7,1
127,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,3,3,6,1
128,Victory,Samira,Heal,Flash,Conqueror,Domination,15,7,6,1
129,Defeat,Samira,Heal,Flash,Conqueror,Domination,5,6,6,1
130,Victory,Vayne,Cleanse,Flash,Press the Attack,Domination,9,3,7,1
131,Victory,Ezreal,Heal,Flash,Conqueror,Inspiration,7,6,9,1
132,Defeat,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,4,6,6,1
133,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,4,9,8,1
134,Defeat,Viego,Teleport,Flash,Conqueror,Domination,3,7,4,1
135,Defeat,Jinx,Cleanse,Flash,Lethal Tempo,Domination,1,8,3,1
136,Defeat,Renekton,Teleport,Flash,Conqueror,Resolve,2,9,1,1
137,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,5,7,6,1
138,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,0,9,3,1
139,Defeat,Jinx,Heal,Flash,Conqueror,Domination,1,4,4,1
140,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,9,2,12,1
141,Defeat,Yorick,Teleport,Flash,Conqueror,Resolve,9,7,7,1
142,Defeat,Viego,Ignite,Flash,Conqueror,Domination,16,9,2,1
143,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,11,5,7,1
144,Defeat,Samira,Heal,Flash,Conqueror,Domination,4,10,2,1
145,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,2,5,5,1
146,Defeat,Lucian,Cleanse,Flash,Press the Attack,Inspiration,7,9,4,1
147,Victory,Aphelios,Cleanse,Flash,Conqueror,Domination,4,5,14,1
148,Defeat,Kalista,Heal,Flash,Hail of Blades,Inspiration,7,12,11,1
149,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,11,1,7,1
150,Defeat,Jhin,Cleanse,Flash,Fleet Footwork,Sorcery,2,6,1,1
151,Defeat,Darius,Smite,Ghost,Conqueror,Sorcery,11,7,3,1
152,Victory,Samira,Heal,Flash,Conqueror,Domination,13,5,7,1
153,Victory,Kayn,Smite,Flash,Dark Harvest,Sorcery,14,7,7,1
154,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,7,9,9,1
155,Victory,Aphelios,Heal,Flash,Conqueror,Domination,7,0,10,1
156,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,4,5,1,1
157,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,11,2,7,1
158,Victory,Darius,Smite,Ghost,Conqueror,Sorcery,3,2,10,1
159,Victory,Senna,Heal,Flash,Glacial Augment,Domination,5,4,8,1
160,Defeat,Rumble,Smite,Flash,Dark Harvest,Sorcery,5,12,9,1
161,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,7,2,8,1
162,Defeat,Jinx,Cleanse,Flash,Lethal Tempo,Domination,1,6,4,1
163,Defeat,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,6,9,15,1
164,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,9,5,8,1
165,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,6,15,7,1
166,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,9,5,7,1
167,Victory,Darius,Smite,Ghost,Conqueror,Sorcery,5,3,8,1
168,Defeat,Jhin,Heal,Flash,Fleet Footwork,Inspiration,6,3,3,1
169,Victory,Ezreal,Heal,Flash,Conqueror,Inspiration,9,2,3,1
170,Victory,Samira,Heal,Flash,Conqueror,Domination,11,4,11,1
171,Victory,Samira,Heal,Flash,Conqueror,Domination,6,2,3,1
172,Victory,Aatrox,Teleport,Flash,Conqueror,Resolve,3,6,12,1
173,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,6,1,9,1
174,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,5,11,9,1
175,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,8,7,5,1
176,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,15,2,13,1
177,Victory,Senna,Heal,Flash,Glacial Augment,Domination,3,7,19,1
178,Defeat,Jhin,Heal,Flash,Fleet Footwork,Inspiration,4,7,4,1
179,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,7,5,4,1
180,Victory,Aphelios,Heal,Flash,Conqueror,Domination,2,5,5,1
181,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,2,6,6,1
182,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,3,10,0,1
183,Defeat,Sivir,Heal,Flash,Lethal Tempo,Inspiration,0,5,6,1
184,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,3,5,6,1
185,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,4,8,6,1
186,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,2,7,4,1
187,Victory,Samira,Heal,Flash,Conqueror,Domination,7,0,1,1
188,Victory,Samira,Heal,Flash,Conqueror,Domination,5,4,10,1
189,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,9,7,9,1
190,Defeat,Vayne,Heal,Flash,Press the Attack,Domination,0,1,0,1
191,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,2,5,2,1
192,Victory,Samira,Heal,Flash,Conqueror,Domination,13,1,5,1
193,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,8,10,12,1
194,Defeat,Samira,Cleanse,Flash,Conqueror,Domination,4,6,3,1
195,Victory,Samira,Heal,Flash,Conqueror,Domination,1,2,6,1
196,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,19,2,11,1
197,Victory,Jinx,Cleanse,Flash,Lethal Tempo,Domination,6,3,3,1
198,Victory,Samira,Heal,Flash,Conqueror,Domination,10,5,10,1
199,Victory,Senna,Heal,Flash,Glacial Augment,Domination,6,2,7,1
200,Victory,Senna,Heal,Flash,Glacial Augment,Domination,7,3,14,1
201,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,7,0,10,1
202,Defeat,Varus,Heal,Flash,Hail of Blades,Sorcery,1,8,2,1
203,Victory,Senna,Heal,Flash,Glacial Augment,Domination,8,4,12,1
204,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,8,6,7,1
205,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,7,7,6,1
206,Defeat,Samira,Heal,Flash,Conqueror,Domination,3,8,2,1
207,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,1,8,13,1
208,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,2,9,5,1
209,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,11,6,5,1
210,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,9,0,3,1
211,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,8,5,3,1
212,Victory,Kai'Sa,Cleanse,Flash,Hail of Blades,Inspiration,16,4,9,1
213,Defeat,Aphelios,Heal,Flash,Conqueror,Domination,5,8,3,1
214,Defeat,Jinx,Heal,Flash,Conqueror,Inspiration,3,9,6,1
215,Victory,Twitch,Ignite,Flash,Hail of Blades,Precision,1,8,11,1
216,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,5,3,5,1
217,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,13,3,6,1
218,Victory,Aphelios,Heal,Flash,Conqueror,Domination,6,3,6,1
219,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,5,0,4,1
220,Defeat,Jinx,Cleanse,Flash,Lethal Tempo,Domination,1,7,2,1
221,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,8,8,11,1
222,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,2,4,1,1
223,Victory,Senna,Heal,Flash,Glacial Augment,Domination,5,5,14,1
224,Victory,Samira,Heal,Flash,Conqueror,Domination,4,2,2,1
225,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,7,4,3,1
226,Victory,Jhin,Cleanse,Flash,Fleet Footwork,Inspiration,6,2,13,1
227,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,0,4,2,1
228,Defeat,Senna,Heal,Flash,Glacial Augment,Precision,1,11,10,1
229,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,4,1,10,1
230,Victory,Jhin,Heal,Flash,Fleet Footwork,Inspiration,5,5,13,1
231,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,1,8,5,1
232,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,17,12,13,1
233,Victory,Samira,Heal,Flash,Conqueror,Domination,17,5,8,1
234,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,18,12,12,1
235,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,1,5,0,1
236,Defeat,Varus,Heal,Flash,Hail of Blades,Inspiration,3,8,4,1
237,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Precision,3,4,4,1
238,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,1,7,4,1
239,Victory,Varus,Teleport,Flash,Arcane Comet,Inspiration,10,4,6,1
240,Defeat,Galio,Ignite,Flash,Aftershock,Sorcery,0,7,5,1
241,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,4,5,5,1
242,Defeat,Kai'Sa,Cleanse,Flash,Hail of Blades,Inspiration,2,8,11,1
243,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,4,0,4,1
244,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,2,10,1,1
245,Defeat,Varus,Heal,Flash,Arcane Comet,Inspiration,1,7,5,1
246,Victory,Jhin,Heal,Flash,Fleet Footwork,Inspiration,5,1,2,1
247,Victory,Varus,Heal,Flash,Hail of Blades,Inspiration,8,6,16,1
248,Defeat,Aphelios,Heal,Flash,Conqueror,Domination,4,5,0,1
249,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,8,8,6,1
250,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,4,2,3,1
251,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,4,6,11,1
252,Defeat,Samira,Heal,Flash,Conqueror,Domination,2,6,1,1
253,Victory,Nautilus,Ignite,Flash,Aftershock,Inspiration,1,7,14,1
254,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,9,2,13,1
255,Defeat,Xin Zhao,Smite,Flash,Phase Rush,Precision,2,5,0,1
256,Victory,Varus,Cleanse,Flash,Hail of Blades,Inspiration,6,5,8,1
257,Defeat,Varus,Teleport,Flash,Arcane Comet,Inspiration,7,5,7,1
258,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,3,3,5,1
259,Victory,Senna,Heal,Flash,Glacial Augment,Domination,2,2,7,1
260,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,11,4,6,1
261,Defeat,Samira,Heal,Flash,Conqueror,Domination,0,3,1,1
262,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,10,1,3,1
263,Victory,Varus,Heal,Flash,Arcane Comet,Inspiration,4,1,3,1
264,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,5,7,1,1
265,Victory,Jinx,Heal,Flash,Lethal Tempo,Domination,6,6,13,1
266,Defeat,Varus,Heal,Flash,Lethal Tempo,Inspiration,1,3,3,1
267,Victory,Rell,Ignite,Flash,Aftershock,Inspiration,2,6,16,1
268,Victory,Senna,Heal,Flash,Glacial Augment,Domination,10,5,8,1
269,Victory,Senna,Heal,Flash,Glacial Augment,Domination,1,1,11,1
270,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,11,5,16,1
271,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,6,2,8,1
272,Victory,Jinx,Heal,Flash,Conqueror,Domination,7,1,7,1
273,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,1,5,2,1
274,Victory,Jinx,Cleanse,Flash,Lethal Tempo,Domination,10,7,14,1
275,Defeat,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,4,10,3,1
276,Defeat,Gnar,Teleport,Flash,Grasp of the Undying,Domination,0,7,9,1
277,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,5,8,2,1
278,Victory,Senna,Heal,Flash,Glacial Augment,Domination,3,2,5,1
279,Victory,Varus,Heal,Flash,Lethal Tempo,Domination,7,9,10,1
280,Defeat,Samira,Heal,Flash,Conqueror,Domination,5,10,4,1
281,Defeat,Jinx,Heal,Flash,Conqueror,Domination,0,6,1,1
282,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,19,2,6,1
283,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,6,1,5,1
284,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,8,0,6,1
285,Defeat,Tristana,Heal,Flash,Hail of Blades,Precision,1,5,3,1
286,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,12,4,8,1
287,Victory,Samira,Heal,Flash,Conqueror,Domination,14,2,6,1
288,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,7,6,9,1
289,Victory,Jinx,Heal,Flash,Conqueror,Domination,13,3,4,1
290,Victory,Varus,Cleanse,Flash,Lethal Tempo,Inspiration,18,6,9,1
291,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Precision,12,7,13,1
292,Defeat,Senna,Heal,Flash,Glacial Augment,Domination,7,16,6,1
293,Defeat,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,6,7,3,1
294,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,9,2,8,1
295,Defeat,Samira,Heal,Flash,Conqueror,Domination,0,13,1,1
296,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,11,3,6,1
297,Defeat,Jinx,Heal,Flash,Lethal Tempo,Domination,10,8,6,1
298,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,16,9,15,1
299,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,2,3,2,1
300,Victory,Varus,Heal,Flash,Lethal Tempo,Inspiration,16,9,14,1
301,Victory,Tristana,Heal,Flash,Hail of Blades,Precision,4,4,5,1
302,Defeat,Varus,Heal,Flash,Lethal Tempo,Inspiration,0,0,0,1
303,Defeat,Ezreal,Heal,Flash,Conqueror,Inspiration,0,7,3,1
304,Defeat,Varus,Heal,Flash,Arcane Comet,Inspiration,4,5,2,1
305,Victory,Sion,Teleport,Flash,Grasp of the Undying,Inspiration,2,2,5,1
306,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Inspiration,5,6,3,1
307,Defeat,Varus,Heal,Flash,Arcane Comet,Inspiration,1,7,3,1
308,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,5,7,7,1
309,Victory,Cho'Gath,Teleport,Flash,Grasp of the Undying,Inspiration,2,6,8,1
310,Defeat,Varus,Heal,Flash,Arcane Comet,Inspiration,2,9,9,1
311,Victory,Kai'Sa,Heal,Flash,Hail of Blades,Precision,2,0,3,1
312,Defeat,Vi,Smite,Flash,Conqueror,Domination,0,3,2,1
313,Victory,Tristana,Cleanse,Flash,Hail of Blades,Precision,13,6,5,1
314,Defeat,Tristana,Cleanse,Flash,Hail of Blades,Precision,2,8,2,1
315,Defeat,Graves,Smite,Flash,Phase Rush,Precision,5,1,1,1
316,Defeat,Draven,Exhaust,Flash,Hail of Blades,Inspiration,0,3,0,1
