,result,champion,d,f,mainRune,minorRune,kill,death,assist,player
0,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5,8,5,1
1,Defeat,Gwen,Flash,Teleport,Conqueror,Domination,2,9,0,1
2,Defeat,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,4,4,1,1
3,Defeat,Sivir,Flash,Heal,Lethal Tempo,Inspiration,2,10,8,1
4,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,6,5,13,1
5,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,2,13,6,1
6,Victory,Vayne,Flash,Heal,Press the Attack,Domination,8,3,9,1
7,Defeat,Kalista,Flash,Heal,Hail of Blades,Inspiration,5,3,5,1
8,Victory,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,8,3,8,1
9,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,8,2,5,1
10,Defeat,Viego,Flash,Ignite,Conqueror,Domination,0,10,2,1
11,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,1,4,6,1
12,Victory,Varus,Flash,Cleanse,Hail of Blades,Inspiration,4,3,11,1
13,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,2,1,5,1
14,Defeat,Kog'Maw,Flash,Teleport,Arcane Comet,Inspiration,7,7,8,1
15,Victory,Vayne,Flash,Heal,Press the Attack,Domination,6,2,4,1
16,Victory,Kog'Maw,Flash,Teleport,Arcane Comet,Inspiration,13,1,13,1
17,Victory,Kog'Maw,Flash,Teleport,Arcane Comet,Inspiration,8,3,5,1
18,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,3,5,7,1
19,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,3,8,2,1
20,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,11,2,8,1
21,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4,1,3,1
22,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,9,2,12,1
23,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,4,3,6,1
24,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,12,2,5,1
25,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,1,4,2,1
26,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7,3,1,1
27,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,6,3,7,1
28,Defeat,Samira,Flash,Heal,Conqueror,Domination,4,8,3,1
29,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,1,6,1,1
30,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,0,3,2,1
31,Victory,Lee Sin,Flash,Teleport,Conqueror,Resolve,7,4,5,1
32,Victory,Lee Sin,Flash,Teleport,Conqueror,Resolve,5,5,3,1
33,Defeat,Jinx,Flash,Heal,Conqueror,Domination,6,8,9,1
34,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5,2,3,1
35,Victory,Samira,Flash,Heal,Conqueror,Domination,11,5,7,1
36,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,25,9,7,1
37,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,10,6,14,1
38,Defeat,Varus,Flash,Heal,Hail of Blades,Inspiration,5,10,3,1
39,Defeat,Senna,Flash,Heal,Glacial Augment,Domination,6,5,14,1
40,Victory,Vayne,Flash,Heal,Press the Attack,Domination,12,6,11,1
41,Victory,Zac,Flash,Smite,Aftershock,Precision,5,2,17,1
42,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,13,1,4,1
43,Defeat,Fiora,Flash,Teleport,Conqueror,Domination,1,8,6,1
44,Defeat,Kog'Maw,Flash,Heal,Arcane Comet,Inspiration,2,10,3,1
45,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,5,4,11,1
46,Victory,Ashe,Flash,Cleanse,Lethal Tempo,Inspiration,6,4,16,1
47,Defeat,Twitch,Flash,Heal,Hail of Blades,Precision,6,9,6,1
