,Unnamed: 0,result,champion,d,f,mainRune,minorRune,kill,death,assist,player
0,0,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,5.0,8.0,5.0,1.0
1,1,Defeat,Gwen,Flash,Teleport,Conqueror,Domination,2.0,9.0,0.0,1.0
2,2,Defeat,Kai'Sa,Flash,Cleanse,Hail of Blades,Inspiration,4.0,4.0,1.0,1.0
3,3,Defeat,Sivir,Flash,Heal,Lethal Tempo,Inspiration,2.0,10.0,8.0,1.0
4,4,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,6.0,5.0,13.0,1.0
5,5,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,2.0,13.0,6.0,1.0
6,6,Victory,Vayne,Flash,Heal,Press the Attack,Domination,8.0,3.0,9.0,1.0
7,7,Defeat,Kalista,Flash,Heal,Hail of Blades,Inspiration,5.0,3.0,5.0,1.0
8,8,Victory,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,8.0,3.0,8.0,1.0
9,9,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,8.0,2.0,5.0,1.0
10,10,Defeat,Viego,Flash,Ignite,Conqueror,Domination,0.0,10.0,2.0,1.0
11,11,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,1.0,4.0,6.0,1.0
12,12,Victory,Varus,Flash,Cleanse,Hail of Blades,Inspiration,4.0,3.0,11.0,1.0
13,13,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,2.0,1.0,5.0,1.0
14,14,Defeat,Kog'Maw,Flash,Teleport,Arcane Comet,Inspiration,7.0,7.0,8.0,1.0
15,15,Victory,Vayne,Flash,Heal,Press the Attack,Domination,6.0,2.0,4.0,1.0
16,16,Victory,Kog'Maw,Flash,Teleport,Arcane Comet,Inspiration,13.0,1.0,13.0,1.0
17,17,Victory,Kog'Maw,Flash,Teleport,Arcane Comet,Inspiration,8.0,3.0,5.0,1.0
18,18,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,3.0,5.0,7.0,1.0
19,19,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,3.0,8.0,2.0,1.0
20,20,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,11.0,2.0,8.0,1.0
21,21,Victory,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,4.0,1.0,3.0,1.0
22,22,Victory,Varus,Flash,Heal,Hail of Blades,Inspiration,9.0,2.0,12.0,1.0
23,23,Defeat,Aphelios,Flash,Heal,Conqueror,Domination,4.0,3.0,6.0,1.0
24,24,Victory,Tristana,Flash,Heal,Hail of Blades,Precision,12.0,2.0,5.0,1.0
25,25,Defeat,Kog'Maw,Flash,Heal,Lethal Tempo,Inspiration,1.0,4.0,2.0,1.0
26,26,Defeat,Kai'Sa,Flash,Heal,Hail of Blades,Inspiration,7.0,3.0,1.0,1.0
27,27,Victory,Tristana,Flash,Cleanse,Hail of Blades,Precision,6.0,3.0,7.0,1.0
28,28,Defeat,Samira,Flash,Heal,Conqueror,Domination,4.0,8.0,3.0,1.0
29,29,Defeat,Jinx,Flash,Heal,Lethal Tempo,Domination,1.0,6.0,1.0,1.0
30,30,Defeat,Sion,Flash,Teleport,Grasp of the Undying,Inspiration,0.0,3.0,2.0,1.0
31,31,Victory,Lee Sin,Flash,Teleport,Conqueror,Resolve,7.0,4.0,5.0,1.0
32,32,Victory,Lee Sin,Flash,Teleport,Conqueror,Resolve,5.0,5.0,3.0,1.0
33,33,Defeat,Jinx,Flash,Heal,Conqueror,Domination,6.0,8.0,9.0,1.0
